"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0085.Day11_.p","7dip","Uninf","LM0085",11,NA
"LM0079.Day11_.p","7dip","Eflab","LM0079",11,NA
"LM0024.Day11_.p","7dip","Efwild","LM0024",11,NA
"LM0084.Day11_.p","7dip","EI64","LM0084",11,NA
"LM0042.Day11_.p","7dip","Uninf","LM0042",11,NA
"LM0059.Day11_.p","7dip","Eflab","LM0059",11,NA
"LM0046.Day11_.p","7dip","Efwild","LM0046",11,NA
"LM0043.Day11_.p","7dip","EI64","LM0043",11,NA
"LM0065.Day11_.p","7dip","Uninf","LM0065",11,NA
"LM0033.Day11_.p","9dpi","Eflab","LM0033",11,NA
"LM0045.Day11_.p","9dpi","Efwild","LM0045",11,NA
"LM0056.Day11_.p","9dpi","EI64","LM0056",11,NA
"LM0091.Day11_.p","9dpi","Uninf","LM0091",11,NA
"LM0073.Day11_.p","9dpi","Eflab","LM0073",11,NA
"LM0028.Day11_.p","9dpi","Efwild","LM0028",11,NA
"LM0035.Day11_.p","9dpi","EI64","LM0035",11,NA
"LM0023.Day11_.p","9dpi","Uninf","LM0023",11,NA
"LM0080.Day11_.p","9dpi","Eflab","LM0080",11,NA
"LM0030.Day11_.p","9dpi","Efwild","LM0030",11,NA
"LM0066.Day11_.p","9dpi","EI64","LM0066",11,NA
"LM0089.Day11_.p","9dpi","Uninf","LM0089",11,NA
"LM0021.Day11_.p","11dpi","Eflab","LM0021",11,93.0555555555556
"LM0048.Day11_.p","11dpi","Efwild","LM0048",11,66.3841807909605
"LM0072.Day11_.p","11dpi","EI64","LM0072",11,102.994011976048
"LM0032.Day11_.p","11dpi","Uninf","LM0032",11,101.470588235294
"LM0025.Day11_.p","11dpi","Eflab","LM0025",11,78.5714285714286
"LM0027.Day11_.p","11dpi","Efwild","LM0027",11,89.4927536231884
"LM0078.Day11_.p","11dpi","EI64","LM0078",11,100.867052023121
"LM0049.Day11_.p","11dpi","Uninf","LM0049",11,100
"LM0031.Day11_.p","11dpi","Eflab","LM0031",11,70.6422018348624
"LM0054.Day11_.p","11dpi","Efwild","LM0054",11,NA
"LM0071.Day11_.p","11dpi","EI64","LM0071",11,103.4375
"LM0053.Day11_.p","11dpi","Uninf","LM0053",11,112.012987012987
