,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
428,LM_0350,1,P4aUCA,a,P4,96.3302752293578,0,E139,NA,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,LM_0350,1,P4bGIQ,b,P4,NA,NA,NA,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,LM_0351,1,P4aQMT,a,P4,101.788990825688,0,E139,NA,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,LM_0351,1,P4bOGB,b,P4,NA,NA,NA,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,LM_0352,1,P4aHUH,a,P4,98.6453201970443,0,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,LM_0352,1,P4bMLZ,b,P4,99.0740740740741,0,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,LM_0353,1,P4aBPY,a,P4,94.4567627494457,7692.30769230769,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,LM_0353,1,P4bCQB,b,P4,100.729594163247,0,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,LM_0354,1,P4aYED,a,P4,97.3777777777778,4807.69230769231,E64,NA,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,LM_0354,1,P4bLKJ,b,P4,101.128451380552,0,NA,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,LM_0355,1,P4aIGA,a,P4,98.7243735763098,0,E64,NA,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,LM_0355,1,P4bJRA,b,P4,101.308615049073,0,NA,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
