"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"256","LM0204","E57aAEF","E5",19.36,19.26,"100.519210799585",3.19,2,"primary"
"257","LM0206","E57aFIW","E5",16.21,16.97,"95.5215085444903",1.47,2,"primary"
"258","LM0207","E57aFOX","E5",16.72,17.27,"96.8152866242038",4.53,2,"primary"
"259","LM0208","E57aIOV","E5",23.39,22.82,"102.497808939527",0,2,"primary"
"260","LM0209","E57aIUY","E5",22.59,22.09,"102.263467632413",0,2,"primary"
"261","LM0210","E57aHQY","E5",15.53,15.65,"99.2332268370607",1.67,2,"primary"
"262","LM0211","E57aOUW","E5",17.76,17.42,"101.95177956372",2.16,2,"primary"
"263","LM0212","E57aHTY","E5",21.11,21.58,"97.8220574606117",1.67,2,"primary"
"264","LM0213","E57aCFO","E5",15.58,15.39,"101.234567901235",3.38,2,"primary"
"265","LM0214","E57aADQ","E5",27.31,27.43,"99.5625227852716",1.16,2,"primary"
"266","LM0215","E57aPRZ","E5",24.17,23.9,"101.129707112971",2.04,2,"primary"
"267","LM0216","E57aABJ","E5",16.49,18.37,"89.7659227000544",0.97,2,"primary"
"268","LM0217","E57aCEV","E5",17.49,17.74,"98.5907553551297",1.67,2,"primary"
"269","LM0218","E57aAOQ","E5",20.75,20.36,"101.915520628684",1.31,2,"primary"
"270","LM0219","E57aACQ","E5",20.39,19,"107.315789473684",1.61,2,"primary"
"271","LM0220","E57aEPS","E5",20.31,19.72,"102.991886409736",0,2,"primary"
"272","LM0221","E57aDEI","E5",20.02,19.73,"101.469842878865",1.32,2,"primary"
"273","LM0222","E57aDGM","E5",23.83,23.99,"99.3330554397666",1.52,2,"primary"
"274","LM0223","E57aAGM","E5",21.77,20.73,"105.016883743367",0,2,"primary"
"275","LM0224","E57aFMY","E5",19.92,19.21,"103.695991671005",0,2,"primary"
"276","LM0225","E57aELY","E5",28.64,28.05,"102.103386809269",2.64,2,"primary"
"277","LM0226","E57aHQU","E5",15.69,15.16,"103.496042216359",1.49,2,"primary"
"278","LM0227","E57aILO","E5",21.73,20.03,"108.487269096355",0,2,"primary"
"279","LM0228","E57aCKN","E5",20.08,18.56,"108.189655172414",2.19,2,"primary"
"280","LM0229","E57aHQZ","E5",16.16,15.82,"102.149178255373",2.98,2,"primary"
"281","LM0230","E57aEWY","E5",16.7,15.87,"105.229993698803",0.27,2,"primary"
"282","LM0231","E57aDKZ","E5",19.47,18.71,"104.061998931053",0.74,2,"primary"
"283","LM0232","E57aHNQ","E5",24.08,24.14,"99.7514498757249",0,2,"primary"
"284","LM0233","E57aMQV","E5",24.97,24.55,"101.710794297352",0,2,"primary"
"285","LM0234","E57aBIX","E5",29.42,28.55,"103.047285464098",0,2,"primary"
"286","LM0235","E57aMOW","E5",18.73,17.03,"109.982384028186",1.09,2,"primary"
"287","LM0236","E57aLOY","E5",23.44,23.64,"99.1539763113367",0.42,2,"primary"
"288","LM0237","E57aGSZ","E5",12.73,11.02,"115.51724137931",1.85,2,"primary"
"289","LM0238","E57aDXY","E5",17.17,15.31,"112.148922273024",0,2,"primary"
"290","LM0239","E57aGRV","E5",18.3,16.84,"108.669833729216",1.48,2,"primary"
"291","LM0240","E57aRWY","E5",17.35,16.19,"107.164916615195",0.84,2,"primary"
"292","LM0241","E57aCHP","E5",16.27,14.51,"112.129565816678",0,2,"primary"
"293","LM0242","E57aCGR","E5",18.03,15.65,"115.207667731629",1.02,2,"primary"
"294","LM0243","E57aKTZ","E5",19.23,18.58,"103.498385360603",0.89,2,"primary"
"295","LM0244","E57aCRY","E5",15.33,12.33,"124.330900243309",0,2,"primary"
"296","LM0245","E57aNRV","E5",17.4,16.71,"104.129263913824",0.83,2,"primary"
"297","LM0246","E57aGHL","E5",18.96,17.95,"105.626740947075",1.38,2,"primary"
"298","LM0247","E57aSUX","E5",24.43,25.21,"96.9059896866323",1.21,2,"primary"
"299","LM0248","E57aDQV","E5",18.21,17.99,"101.222901612007",0.7,2,"primary"
"300","LM0249","E57aART","E5",22.16,22.27,"99.5060619667714",1.58,2,"primary"
"301","LM0250","E57aDOQ","E5",20.45,20.59,"99.3200582807188",1.38,2,"primary"
"302","LM0251","E57aCTX","E5",20.51,19.67,"104.270462633452",1.05,2,"primary"
"303","LM0252","E57aGKN","E5",15.63,15.01,"104.130579613591",1.5,2,"primary"
"304","LM0253","E57aISX","E5",11.25,11.08,"101.534296028881",0,2,"primary"
"305","LM0254","E57aBTZ","E5",20.66,20.16,"102.480158730159",0.79,2,"primary"
"306","LM0255","E57aDFM","E5",15.62,14.65,"106.621160409556",1.75,2,"primary"
"307","LM0256","E57aDSZ","E5",25.29,25.63,"98.6734295747171",0,2,"primary"
"308","LM0257","E57aFOY","E5",20.2,19.57,"103.219213081247",1.76,2,"primary"
"309","LM0258","E57aQTU","E5",17.35,17.53,"98.9731888191671",2.15,2,"primary"
"310","LM0259","E57aKQT","E5",25.13,24.62,"102.071486596263",1.64,2,"primary"
"311","LM0260","E57aHKM","E5",19.46,20.11,"96.7677772252611",1.43,2,"primary"
