Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
B2,Eimeria 10_1,Eimeria,Standard,C,27.51,27.62,0.34,21,,,120320,Victor,Eppendorf,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B3,Eimeria 10_1,Eimeria,Standard,C,28,27.62,0.34,21,,,120320,Victor,Eppendorf,21,E_ferrisi,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,,,,,,,120320,Victor,Eppendorf,0,E_ferrisi,water,,,,,,
H2,H2O,Eimeria,NTC,,,,,,,,120320,Victor,Eppendorf,0,E_ferrisi,water,,,,,,
H3,H2O,Eimeria,NTC,,,,,,,,120320,Victor,Eppendorf,0,E_ferrisi,water,,,,,,
A1,Eimeria_10_6,Eimeria,Standard,C,12.25,9.83,2.642,2100000,,,170620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A2,Eimeria_10_6,Eimeria,Standard,C,10.23,9.83,2.642,2100000,,,170620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A3,Eimeria_10_6,Eimeria,Standard,C,7.02,9.83,2.642,2100000,,,170620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
F1,Eimeria_10_5,Eimeria,Standard,C,16.96,14.24,2.792,210000,,,170620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F2,Eimeria_10_5,Eimeria,Standard,C,14.38,14.24,2.792,210000,,,170620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F3,Eimeria_10_5,Eimeria,Standard,C,11.38,14.24,2.792,210000,,,170620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
E1,Eimeria_10_4,Eimeria,Standard,C,19.49,17.73,1.917,21000,,,170620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E2,Eimeria_10_4,Eimeria,Standard,C,18.01,17.73,1.917,21000,,,170620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E3,Eimeria_10_4,Eimeria,Standard,C,15.69,17.73,1.917,21000,,,170620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
D1,Eimeria_10_3,Eimeria,Standard,C,25.89,23.61,2.685,2100,,,170620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D2,Eimeria_10_3,Eimeria,Standard,C,24.28,23.61,2.685,2100,,,170620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D3,Eimeria_10_3,Eimeria,Standard,C,20.65,23.61,2.685,2100,,,170620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
C1,Eimeria_10_2,Eimeria,Standard,C,29.2,27.51,2.144,210,,,170620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C2,Eimeria_10_2,Eimeria,Standard,C,28.24,27.51,2.144,210,,,170620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C3,Eimeria_10_2,Eimeria,Standard,C,25.1,27.51,2.144,210,,,170620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
B1,Eimeria_10_1,Eimeria,Standard,C,32.64,30.52,2.105,21,,,170620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B2,Eimeria_10_1,Eimeria,Standard,C,30.48,30.52,2.105,21,,,170620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B3,Eimeria_10_1,Eimeria,Standard,C,28.43,30.52,2.105,21,,,170620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,,,,,,,170620,Victor,ABI,0,E_ferrisi,water,,,,,,
